Verlag;V1;V2;V3;V4;V5;V6;V7;V3;V8;V6;V9;V10;V6;V3;V11;V12;V13;V14;V3;V3;V15;V15;V16;V17;V2;V6;V4;V3;V18;V3;V3;V3;V19;V3;V20;V12;V21;V3;V4;V6;V3;V2;V3;V22;V6;V3;V2;V3;V23;Anzahl Aussagen;
Antragsnummer;F1/2021;F2/2021;F1/2022;F2/2022;F3/2022;F4/2022;F5/2022;F6/2022;F7/2022;F8/2022;F9/2022;F10/2022;F11/2022;F12/2022;F13/2022;F14/2022;F15/2022;F16/2022;F17/2022;F18/2022;F19/2022;F20/2022;F21/2022;F22/2022;F23/2022;F1/2023;F2/2023;F3/2023;F4/2023;F5/2023;F6/2023;F7/2023;F8/2023;F9/2023;F10/2023;F11/2023;F12/2023;F13/2023;F1/2024;F2/2024;F3/2024;F4/2024;F5/2024;F5/2024;F6/2024;F7/2024;F8/2024;F9/2024;F10/2024;;
Allgemeine Lektoratskosten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verlagsinterne Manuskriptprüfung;;;;;336,13 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.360,00 €;;;;;;1;
Qualitätssicherung und Verwaltung;;;;;;;;;;;;1.000,00 €;;;;300,00 €;;;;;;;;;;;;;;;;;300,00 €;;;300,00 €;1.500,00 €;;;;;;;Acquisitions & Manuscript Editorial;;;;;;2;
Editorial;;;;;;;;;1.738,00 €;;;;;;400,00 €;;;;;;;;;;;;;;;;;;;;;;Qualitätskontrolle und Herstellung (Redaktion, Satz, div. Prüfungen und Korrekturen etc.) ;;;;;;;;;;;;;2;
Lektorat;;2.310,92 €;;;;;;;1.042,79 €;;;;;;;;1.687,50 €;;;;;;500,00 €;;3.150,00 €;;;;750,00 €;;;;1.400,00 €;;;;;;;;;;;;;;;;;6;
Notiz Lektorat;;500 Normseiten a 1.800 Zeichen: 5,50 EUR pro Normseite (brutto);;;;;;;;;;;;;;;Projektmanagement, Review d. Manuskripts, ggf. Bearbeitung, Indexherstellung, Fahnenkorrektur (25 Stunden mal 90 EUR, 75% für OA-Ausgabe);;;;;;;;;;;;Lektorat und Korrektur, Layoutkontrolle, Fußnotenüberprüfung etc.;;;;Lektoratsbetreuung;;;;;;;;;;;;;;;;;;
Korrektorat;3.454,22 €;1.050,42 €;;;;500,00 €;450,00 €;;;;;200,00 €;600,00 €;;450,00 €;;;;;;;;;;980,00 €;500,00 €;;;;;;;963,00 €;;;437,00 €;;;;;;960,00 €;;;;;;;;9;
Notiz Korrektorat;265.000 Wörter;500 Normseiten a 1.800 Zeichen: 2,50 EUR pro Normseite (brutto);;;;;;;;;;;Autorkorrekturkosten;;Autor*inkorrekturkosten;;;;;;;;;;700 Normseiten à 1.800 Zeichen: 1,40 EUR pro Normseite;Autorkorrekturkosten;;;;;;;;;;Korrekturkosten;;;;;;Endkorrektur der Arbeit (DE);;;;;;;;;
Übersetzung;;1.120,00 €;;;;;;;;;;;;;;;;;;;;;;;1.200,00 €;;;;;;;;;;;;;;;;;;;;;;;;;2;
Notiz Übersetzung;;56 Normseiten a 1.800 Zeichen, 23,80 EUR pro Normseite (brutto);;;;;;;;;;;;;;;;;;;;;;;Übersetzung DE à PL des Resümees + Kleintexte, d.h. 30 Normseiten à 1.800 Zeichen, Preis pro Normseite: brutto 23,80 EUR = netto 20,00 EUR);;;;;;;;;;;;;;;;;;;;;;;;;;
Endkorrektorat Übersetzung;;164,71 €;;;;;;;;;;;;;;;;;;;;;;;320,00 €;;;;;;;;;;;;;;;;;4.760,00 €;;;;;;;;1;
Notiz Endkorrektorat Übersetzung;;56 Normseiten a 1.800 Zeichen, 3,50 EUR pro Normseite (brutto);;;;;;;;;;;;;;;;;;;;;;;Überprüfung und Endkorrektur der Übersetzungen in der Publikation, d.h. ca. 80 Normseiten à 1.800 Zeichen, Preis pro Normseite: 4,00 EUR pro Normseite brutto=netto;;;;;;;;;;;;;;;;;Übersetzung DE in PL der Arbeit (ohne Anhänge) ;;;;;;;;;
Herstellungskosten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technische Herstellungskosten;;;1.485,00 €;1.544,00 €;;;;1.100,00 €;2.896,65 €;;;;;1.390,00 €;;200,00 €;1.800,00 €;423,00 €;1.400,00 €;1.300,00 €;;;;;936,00 €;;1.410,40 €;1.400,00 €;;1.200,00 €;1.400,00 €;1.300,00 €;900,00 €;742,00 €;3.503,50 €;200,00 €;;1.200,00 €;2.454,00 €;;1.450,00 €;;1.450,00 €;;;1.280,00 €;;1.200,00 €;;17;
Notiz Technische Herstellungskosten;;;;Satz, Korrekturen, Reproduktion, Bildbearbeitung, 304 Seiten;;;;medienneutral;;;;;;Herstellung, Satz (medienneutral);;Prüfung;Einmalige Kosten für Einrichtung des Zugangs am Verlagsserver und auf der Webseite, Aufbereitung epub-Format und Archivierung, fortlauf. Technische Kosten;Technische Einrichtung der Proceedings auf der OJS-Plattform, inkl. Webseite, Nutzerrollen und Plug-ins;medienneutral;medienneutral;;;;;DTP (Erstellung des Drucksatzes – Textlayout, InDesign incl. Illustrationen und Anpassung des Umschlags);;Satz, Korrekturen, Reproduktion, Bildbearbeitung;medienneutral;;medienneutral ((bzw. bei externem Satz: Aufwände für das Projektmanagement/Fahnencheck);medienneutral ((bzw. bei externem Satz: Aufwände für das Projektmanagement/Fahnencheck);medienneutral ((bzw. bei externem Satz: Aufwände für das Projektmanagement/Fahnencheck);Herstellung allgem. ;Herstellung, Satz (medienneutral);;;;Herstellung, Satz (medienneutral);(Satz, Korrekturen, Reproduktion, Bildbearbeitung);;Herstellung, Satz im Verlag (bzw. bei externem Satz: Aufwände für das Projektmanagement/Fahnencheck);;Herstellung, Satz im Verlag (bzw. bei externem Satz: Aufwände für das Projektmanagement/Fahnencheck);;;Herstellung, Satz im Verlag (bzw. bei externem Satz: Aufwände für das Projektmanagement/Fahnencheck);;Herstellung, Satz im Verlag (bzw. bei externem Satz: Aufwände für das Projektmanagement/Fahnencheck);;;
Satz- und Layouteinrichtung;;;;;;2.600,00 €;2.000,00 €;;;2.350,00 €;;510,00 €;2.880,00 €;;850,00 €;143,00 €;;1.409,00 €;;;966,39 €;1.008,40 €;724,00 €;;990,00 €;1.500,00 €;;;;;;;;;;913,00 €;;;;1.507,00 €;;;;;1.050,00 €;;;;1.064,00 €;13;
Notiz Satz- und Layouteinrichtung;;;;;;3,70 EUR netto pro Seite bei 700 Seite;5 EUR pro Seite bei 400 Seiten wegen komplizierter Formatierung;;;;;Medienneutrale Aufbereitung, Satz, Layout;3,70 EUR pro Seite;;3,40 EUR pro Seite, 250 Seiten, 28 Abbildungen, Standard-Satz;;;Halbautomatische Produktion der 42 Beiräge (template-basiert) und ihre OA-Veröffentlichung;;;;;Satzbetreuung für 362 Seiten;;Anpassung an das Stylesheet;;;;;;;;;;;;;;;;;;;;;;;;;;
Umbruch;;;;;;;;;;;;;;;;;517,50 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Notiz Umbruch;;;;;;;;;;;;;;;;;230 Seiten mal 3 EUR, 75% davon für OA-Ausgabe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satz;2.072,53 €;453,78 €;;;731,16 €;;;;521,40 €;;;;;;;;210,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;
Notiz Satz;;360 Druckseiten a 1,50 EUR (brutto);;;;;;;;;;;;;;;7 Stunden, 75% davon für OA-Ausgabe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Layout;;;;;420,17 €;;;;927,00 €;;;;;;;;;1.931,00 €;;;;;;;;;;;1.250,00 €;;;;;;;;;;;;;642,60 €;;;;;;;;4;
Notiz Layout;;;;;;;;;;;;;;;;;;Formatierung der 42 Worddateien anhand der Formatvorlage;;;;;;;;;;;100 Seiten Innenteil;;;;;;;;;;;;;Erstellung des Drucksatzes - Textlayout, InDesingn incl. Illustrationen und Anpassung des Umschlags;;;;;;;;;
Bildbearbeitung;1.278,06 €;;;;420,17 €;;;;;;;610,00 €;;;;;;;;;;;113,40 €;;;50,00 €;;;;;;;;;;;;;;;;;;;;;;;;5;
Notiz Bildbearbeitung;74 Bilder, 17,27 Eur pro Bild;;;;;;;;;;;Bildbearbeitung in s/w für 30 Grafiken, Abbildungen in Farbe für 20 Grafiken;;;;;;;;;;;43 Grafiken und Tabellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abbildungsprüfungen;;;;;126,05 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Covergestaltung;172,71 €;151,26 €;;;420,17 €;50,00 €;;;;;;;50,00 €;;;;;;;;;;;;200,00 €;50,00 €;;;800,00 €;;;;400,00 €;;600,00 €;;;;;;;200,00 €;;;50,00 €;;;;;9;
Redaktion/Cover;;;;;;;;;;;;;;;;;;;;;;;512,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Lizenzen;;;;;;;;;;;;;;;;;;;;;1.008,40 €;1.008,40 €;;100,00 €;;;;;250,00 €;;;;;;;;;;;;;;;;;;;;;4;
Notiz Lizenzen;;;;;;;;;;;;;;;;;;;;;Open-Access-Lizenz;Open-Access-Lizenz;;Einfügen von OA-Hinweisen in allen Buchversionen;;;;;Abbildungsrechte Innenteil zur Veröffentlichung;;;;;;;;;;;;;;;;;;;;;;
Vertriebskosten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vertrieb;230,28 €;;;;588,24 €;;;;;;850,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300,00 €;3;
Notiz Vertrieb;;;;;;;;;;;DOI-Registrierung, Aufbereitung und zusätzliche Lieferung von Metdadaten an Crossref, Meldung, Lieferung a digitale Vertriebskanäle, Hosting, Indizierung und Langzeitarchivierung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Werbung, Marketing, Vertrieb;;
Digitaler Vertrieb;287,85 €;;;1.300,00 €;;1.500,00 €;1.000,00 €;1.300,00 €;;2.650,00 €;;750,00 €;1.500,00 €;1.300,00 €;1.000,00 €;3.080,00 €;;;1.300,00 €;1.300,00 €;;;;200,00 €;;2.000,00 €;1.150,00 €;1.300,00 €;400,00 €;;1.300,00 €;1.200,00 €;;1.300,00 €;;;;1.300,00 €;;;1.300,00 €;;1.300,00 €;;2.000,00 €;1.300,00 €;;1.300,00 €;;20;
Notiz Digitaler Vertrieb;;;;PDF-Erstellung, DOI-Vergabe, Metadaten-Handling, Upload auf Repositorien;;Digitale Aufbereitung eBook, Verbreitung und OA-Vetriebsstrukturen;Vorbereitung/Management von OA-Verkaufsstrukturen;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Digitale Aufbereitung, Verbreitung und OA-Vertriebsstrukturen;;;Digitale Aufbereitung eBook, Verbreitung und OA-Vertriebsstrukturen;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;Digitale Aufbereitung und Management der OA-Vetriebsstrukturen;Datenanreicherung nach Standard Silber;;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;;;Meldung/Upload an geeignete Repositorien/Datenbanken einschließlich Bereitstellung umfangreicher Metadaten;;Digitale Aufbereitung, Verbreitung und OA-Vertriebsstrukturen;PDF-Erstellung, DOI-Vergabe, Metadaten-Handling, Upload auf Repositorien;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;PDF/Datenoptimierung, Datenbereitstellung für Open Access Publikation, Metadaten;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Digitale Aufbereitung, Verbreitung und OA-Vertriebsstrukturen;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;Vertriebsnetzwerk, Daten- und Nutzungsmanagement, eigene Verlagsplattform, Metadatenmanagement, DOI auf Kapitelebene uvm.;;;
Marketing;575,70 €;;;;420,17 €;400,00 €;735,00 €;;579,33 €;500,00 €;650,00 €;200,00 €;400,00 €;;;;;;;;;;1.000,00 €;;;400,00 €;;;;;;;900,00 €;;;903,00 €;;;;500,00 €;;;;3.720,00 €;400,00 €;;;;;11;
Notiz Marketing;;;;;;;Marketing, Metadatenverteilung, A & I;;;;Anzeigen, Kongressauftritte, Werbemittel, Werbekampagnen, Verlagsvorschau, Website, Newsletter, Blogbeiträge;;;;;;;;;;;;Katalogaufnahmen (350 EUR), Einzelwerbemittel (300 EUR), Titelpflege (350 EUR);;;;;;;;;;Marketing/Vertrieb;;;Marketing/Vertrieb;;;;;;;;Marketing & Promotion;;;;;;;
Indexierung;;;;;;;;;521,40 €;;;;;;;;;50,00 €;;;;;;;;;;;;;;;;;;1.095,00 €;;;;;;;;;;;425,00 €;;;2;
Notiz Indexierung;;;;;;;;;;;;;;;;;;auf Google Scholar;;;;;;;;;;;;;;;;;;Datenanreicherung/Metadaten nach Standard Silber;;;;;;;;;;;Datenebarbeitung;;;;
DOI-Vergabe;;;;;;;;;;;;;;;;;;;;;;;;400,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Nutzung Plagiatsprüfungssoftware und DOI-Vergabe;;;;;;;;;;;;;;;;;;132,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Projektmanagement und Gemeinkosten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemeinkosten;1.727,11 €;2.615,13 €;4.395,00 €;3.189,25 €;;;1.615,00 €;600,00 €;;;2.100,00 €;;;600,00 €;1.300,00 €;2.000,00 €;724,50 €;;600,00 €;600,00 €;;;900,00 €;;2.615,13 €;2.000,00 €;1.250,00 €;600,00 €;;600,00 €;600,00 €;600,00 €;1.500,00 €;400,00 €;6.320,53 €;1.448,50 €;1.000,00 €;600,00 €;1.750,00 €;;600,00 €;;600,00 €;120,00 €;;600,00 €;1.037,00 €;600,00 €;800,00 €;22;
Notiz Gemeinkosten;;80 Stunden, Tarifgruppe 13, Stufe 4;;inkl. Lektorat und Werbung;;;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;;Mieten, Gehälter, Infrastruktur;;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;Setzt sich zusammen aus Marketing-/Vertriebskosten (1400) und sonstigen Kosten (600) ;Administration, Büro, Sekretariat (30% der Herstellungskosten);;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;;;;80 Stunden, Tarifgruppe 13, Stufe 4;in Lektorat und Herstellung;inkl. Lektorat und Werbung;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Verlagsgemeinkosten;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;sonstige allg. Verlagsgemeinkosten;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Gemeinkostenzuschlag inkl. Lektorat und Werbung;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;Overheads;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;Gebäudeunterhaltung, techn. bzw. Büro-Ausstattung, Buchhaltung, Sekretariat und andere Servicebereiche, Mitgliedsbeiträge und Gebühren, Lizenzgebühren (Software u.a.), externe Beratungen, Varia;;;
Projektmanagement;;;;;420,17 €;1.000,00 €;1.200,00 €;;;4.500,00 €;465,00 €;1.600,00 €;1.000,00 €;;950,00 €;700,00 €;;1.239,00 €;;;;;;;;;;;;;;;;;;973,00 €;1.500,00 €;;;3.000,00 €;;3.112,00 €;;;2.000,00 €;;;;400,00 €;10;
Notiz Projektmanagement;;;;;in Lektorat und Herstellung;in Lektorat und Herstellung;in Lektorat und Herstellung;;;in Lektorat und Herstellung;Lektorat und Herstellung - individuelle Lektoratsbetreuung (Beratung, Koordination Grafik, Unterstützung bei Formatierung, digitale Aufbereitung);Projekt- und Open-Access-Management;in Lektorat und Herstellung;;in Lektorat und Herstellung;;;Unterstützung der Herausgeber*innen bezüglich OJS, formaler Qualitätskriterien innen bei der Indexierung der Proceedings ;;;;;;;;;;;;;;;;;;;Gemeinkosten Verlagsleistungen (Projektmanagement, Vertrieb, Presse, Marketing, Rightsmanagement etc.);;;Projektmanagement (Lektorat, Herstellung) ;;Projektmanagement, Koordination, Umbruchkorrektur, Freigabe zur Publikation;;;Projektmanagement in Lektorat und Herstellung;;;;Lektorat und Herstellung;;
OA E-Book Basisaufwände;;;;;;;;2.700,00 €;;;;;;2.700,00 €;;;;;2.700,00 €;2.700,00 €;;;;;1.538,00 €;;;2.700,00 €;;2.600,00 €;2.800,00 €;2.500,00 €;;2.600,00 €;2.700,00 €;;;2.600,00 €;1.175,00 €;2.000,00 €;2.700,00 €;;2.700,00 €;;;2.700,00 €;200,00 €;2.600,00 €;936,00 €;10;
Notiz OA E-Book Basisaufwände;;;;;;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;;;Fehlbetrag, Zuschuss an Verlag, darin enthalten OA-Zuschuss;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;Open Access Zuschlag;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;PDF-Erstellung, Metadaten-Handling, Upload auf Repositorien;Digitale Aufbereitung, Verbreitung und OA- Vertriebsstrukturen;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;;;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;E-Book auf PDF-Basis;Projektmanagement, Vorankündigung, Umschlaggestaltung, PR, Rightsmanagement, technisch-herstellerische Prüfungen und Qualitätskontrolle;Datenaufbereitung, DOI, Langzeitarchivierung;;
Druckkosten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Druck;;1.260,50 €;;;;;;;1.042,80 €;;;;;;;2.939,00 €;;;;;;;;;1.401,00 €;;;;;;;;983,00 €;;1.101,77 €;;;;;;;2.494,57 €;;4.800,00 €;;;1.003,00 €;;;5;
Notiz Druck;;Print-Auflage 150 Ex, Preis 10 EUR pro Stück (brutto);;;;;;;Druck UK + US;;;;;;;;;;;;;;;;;;;;;;;;Duck, Papier, Bindung, Abbildungen ;;Druck, Papier, Einband, Bindung;;;;;;;Druck, Bindung, Rüstkosten Druckerei+ 30 zusätzliche Druckexemplare zum Verlags-Sonderpreis;;Production & Design;;;Druck, Bindung, Rüstkosten Druckerei;;;;
Sonstiges;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sonstiges;;;;;;;;;;;;;;;;38,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;2.138,43 €;;;;;;;;1;
Langzeitarchivierung;;;;;126,05 €;;;;;;;;;;;;;13,00 €;;;;;;1.450,00 €;;;;;;;;;1.000,00 €;;;;1.600,00 €;;;;;;;;;;;;;3;
Notiz Langzeitarchivierung;;;;;;;;;;;;;;;;;;über Portico und Abgabe bei DNB;;;;;;Aufbereitung des PDF für den Upload auf alle relevanten Repositorien (Langzeitarchivierungs-konform), Pflichtablieferung an DNB: 50 EUR;;;;;;;;;Archivierung/Verbreitung;;;;Digitale Leistungen (Repositorien-Management, Metadatenpflege, Langzeitarchivierung, Serverbetrieb, DOI-Vergabe etc.) ;;;;;;;;;;;;;;
Bereitstellung von Nutzungsstatistiken;;;;;;;;;;;;;;;;;;;;;;;;100,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Externe Dienstleistungen (Grafik, externe Gutachten);;;;;;;;;;;135,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Weitere Parameter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lizenz;;CC BY-NC-ND 4.0;CC BY 4.0;CC BY 4.0;;CC BY-NC-ND 4.0;CC BY-NC-ND 4.0;CC BY-SA 4.0;CC BY-NC 4.0;CC BY 4.0;CC BY 4.0;CC BY 4.0;CC BY-NC-ND 4.0;CC BY-NC-ND 4.0;CC BY-SA 4.0;CC BY-NC-ND 4.0;CC BY-ND 4.0;CC BY 4.0;CC BY 4.0;CC BY-SA 4.0;CC BY 4.0;CC BY 4.0;CC BY-NC-ND 4.0;CC BY-NC-ND 4.0;CC BY-SA 4.0;;CC BY-SA 4.0;CC BY 4.0;CC BY-NC-ND 4.0;;CC BY 4.0;;;CC (Variante offen);CC BY 4.0 ;CC BY-NC-ND;CC-BY-SA 4.0;CC BY 4.0;CC BY 4.0;CC BY oder NC-ND;CC BY-NC-ND;CC BY-SA 4.0 International;CC BY;CC BY-NC-ND;CC BY ;CC BY-NC-ND 4.0;CC BY-SA 4.0;CC BY 4.0;CC BY NC-SA 4.0;;
Seitenumfang;;375;334;287;;700;;240;296;800;230;150;847;360;250;606;308;;307;330;300;350;365;376;500-520;;272;315;100;250;270;;ca. 321 ;180;490;350;250;300;540;400;350;300;290;250;300;220;304;254;250;;
